"question_id","audio_path","existing_media_duration_ms","detected_media_duration_ms","status","note"
"4001-016","2026-02-22/n2n-audio-001.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\n2n-audio-001.mp3"
"4001-017","2026-02-22/n2n-audio-002.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\n2n-audio-002.mp3"
"4001-018","2026-02-22/n2n-audio-003.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\n2n-audio-003.mp3"
"4001-019","2026-02-22/n2n-audio-004.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\n2n-audio-004.mp3"
"4001-020","2026-02-22/n2n-audio-005.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\n2n-audio-005.mp3"
"4001-021","2026-02-22/n2n-audio-006.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\n2n-audio-006.mp3"
"4002-016","2026-02-22/deh-audio-001.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\deh-audio-001.mp3"
"4002-017","2026-02-22/deh-audio-002.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\deh-audio-002.mp3"
"4002-018","2026-02-22/deh-audio-003.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\deh-audio-003.mp3"
"4002-019","2026-02-22/deh-audio-004.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\deh-audio-004.mp3"
"4002-020","2026-02-22/deh-audio-005.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\deh-audio-005.mp3"
"4002-021","2026-02-22/deh-audio-006.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\deh-audio-006.mp3"
"4003-016","2026-02-22/ts-audio-001.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\ts-audio-001.mp3"
"4003-017","2026-02-22/ts-audio-002.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\ts-audio-002.mp3"
"4003-018","2026-02-22/ts-audio-003.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\ts-audio-003.mp3"
"4003-019","2026-02-22/ts-audio-004.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\ts-audio-004.mp3"
"4003-020","2026-02-22/ts-audio-005.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\ts-audio-005.mp3"
"4003-021","2026-02-22/ts-audio-006.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\ts-audio-006.mp3"
"4004-016","2026-02-22/bb-audio-001.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\bb-audio-001.mp3"
"4004-017","2026-02-22/bb-audio-002.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\bb-audio-002.mp3"
"4004-018","2026-02-22/bb-audio-003.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\bb-audio-003.mp3"
"4004-019","2026-02-22/bb-audio-004.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\bb-audio-004.mp3"
"4004-020","2026-02-22/bb-audio-005.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\bb-audio-005.mp3"
"4004-021","2026-02-22/bb-audio-006.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-22\bb-audio-006.mp3"
"audio1-001","karaoke",,,"missing_file","C:\Users\mark\musical-theatre-quiz\karaoke"
"disney-260215-181","2026-02-24/disney-audio-001.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-24\disney-audio-001.mp3"
"disney-260215-182","2026-02-24/disney-audio-002.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-24\disney-audio-002.mp3"
"disney-260215-183","2026-02-24/disney-audio-003.mp3",,,"missing_file","C:\Users\mark\musical-theatre-quiz\2026-02-24\disney-audio-003.mp3"
